time,Tinlet,Flowrate,Heat_flux,Tmax,Tmax_prev
15083,24.668528,206.334936,34.40971484,52.198204,52.187167
15084,24.65775,206.481453,34.40971484,52.220579,52.198204
15085,24.677704,206.426291,34.69288147,52.247056,52.220579
15086,24.671923,205.767141,34.58153082,52.276566,52.247056
15087,24.667506,205.985927,34.46416997,52.276534,52.276566
15088,24.674256,206.060989,34.69288147,52.303634,52.276534
15089,24.684177,206.475983,34.43149689,52.325268,52.303634
15090,24.676774,206.109052,34.69288147,52.337193,52.325268
15091,24.688409,206.401503,47.38348146,52.369739,52.337193
15092,24.681587,206.373108,50.38739223,52.368258,52.369739
15093,24.676056,206.361237,50.16629189,52.382011,52.368258
15094,24.683037,206.196333,49.82515458,52.425785,52.382011
15095,24.685852,206.139542,50.15317122,52.478558,52.425785
15096,24.679293,191.395599,50.01849091,52.733966,52.478558
15097,24.680914,178.612115,50.15317122,52.959026,52.733966
15098,24.683426,176.679935,50.36104213,53.131094,52.959026
15099,24.66125,176.88045,49.82515458,53.256973,53.131094
15100,24.687678,176.618256,50.15317122,53.409564,53.256973
15101,24.68895,176.53144,50.15317122,53.546148,53.409564
15102,24.679121,175.968649,50.15317122,53.664006,53.546148
15103,24.674059,176.595679,50.15317122,53.795963,53.664006
15104,24.685502,176.190926,50.01849091,53.944467,53.795963
15105,24.684263,175.90022,50.36104213,54.078332,53.944467
15106,24.680242,176.660966,50.15317122,54.221403,54.078332
15107,24.686913,175.760104,50.01849091,54.373768,54.221403
15108,24.681751,175.758475,50.15317122,54.5076,54.373768
15109,24.691732,175.853903,49.81203391,54.658667,54.5076
15110,24.683386,176.237825,49.81203391,54.796348,54.658667
15111,24.688284,176.896277,50.09754119,54.950985,54.796348
15112,24.689029,176.39016,50.01849091,55.099533,54.950985
15113,24.686755,176.323943,49.81203391,55.242876,55.099533
15114,24.678937,176.158224,49.81203391,55.381702,55.242876
15115,24.673953,176.432986,49.81203391,55.536327,55.381702
15116,24.670571,176.430193,49.81203391,55.687103,55.536327
15117,24.68218,176.21839,50.01849091,55.852928,55.687103
15118,24.679833,176.659686,49.81203391,55.997492,55.852928
15119,24.675529,175.789547,50.15317122,56.141935,55.997492
15120,24.682391,175.85239,49.81203391,56.299498,56.141935
15121,24.670143,175.889281,49.81203391,56.435953,56.299498
15122,24.665581,175.724493,49.60557692,56.579663,56.435953
15123,24.672608,175.888233,50.15317122,56.720717,56.579663
15124,24.668185,176.040103,50.15317122,56.871959,56.720717
15125,24.668244,176.803526,50.15317122,57.027331,56.871959
15126,24.655851,176.553319,49.81203391,57.161797,57.027331
15127,24.657736,175.702615,49.81203391,57.316903,57.161797
15128,24.652647,175.819921,50.36104213,57.459812,57.316903
15129,24.636753,175.956546,50.01849091,57.589042,57.459812
15130,24.656003,175.722282,50.15317122,57.752712,57.589042
15131,24.634196,176.224209,50.01849091,57.877739,57.752712
15132,24.629383,175.394453,49.81203391,58.016386,57.877739
15133,24.64473,176.100153,49.74930605,58.16881,58.016386
15134,24.646576,176.520733,49.87763724,58.302688,58.16881
15135,24.635343,175.890561,49.61864321,58.43326,58.302688
15136,24.654744,176.246902,49.94530031,58.586681,58.43326
15137,24.648692,176.091308,50.15317122,58.708805,58.586681
15138,24.64852,176.475929,49.94530031,58.843382,58.708805
15139,24.632132,175.832955,49.61864321,58.956554,58.843382
15140,24.640485,176.230959,49.94530031,59.103902,58.956554
15141,24.622145,176.005423,49.61864321,59.234023,59.103902
15142,24.630629,176.07583,50.15317122,59.339946,59.234023
15143,24.636753,176.271341,49.94530031,59.462202,59.339946
15144,24.633793,175.936646,49.61864321,59.601205,59.462202
15145,24.623397,175.639423,49.94530031,59.707149,59.601205
15146,24.635455,176.397143,49.94530031,59.819221,59.707149
15147,24.631433,176.079671,49.61864321,59.938765,59.819221
15148,24.631328,175.924892,49.61864321,60.045727,59.938765
15149,24.621532,176.914431,50.16629189,60.167497,60.045727
15150,24.620048,176.084326,49.41213183,60.281413,60.167497
15151,24.621505,176.64991,49.82515458,60.398632,60.281413
15152,24.62643,175.790478,49.9583666,60.521014,60.398632
15153,24.617214,175.729847,50.16629189,60.627168,60.521014
15154,24.630379,176.694016,49.9583666,60.736011,60.627168
15155,24.628711,176.714149,49.86690261,60.832893,60.736011
15156,24.637703,176.109696,49.82515458,60.96235,60.832893
15157,24.633391,175.44333,50.16629189,61.052838,60.96235
15158,24.635191,175.49663,50.16629189,61.165419,61.052838
15159,24.624894,175.247354,49.61864321,61.25726,61.165419
15160,24.629818,175.993204,49.61864321,61.352456,61.25726
15161,24.632666,176.055465,49.61864321,61.447424,61.352456
15162,24.626542,175.849015,50.16629189,61.53075,61.447424
15163,24.629265,176.144143,49.61864321,61.622449,61.53075
15164,24.636266,176.887083,49.9583666,61.736473,61.622449
15165,24.627023,175.648267,49.82515458,61.823488,61.736473
15166,24.630576,175.985523,50.16629189,61.909032,61.823488
15167,24.65597,176.166138,49.61864321,62.020738,61.909032
15168,24.650221,176.180103,49.9583666,62.093646,62.020738
15169,24.654862,175.704826,49.9583666,62.197508,62.093646
15170,24.641038,175.716812,49.9583666,62.280055,62.197508
15171,24.64887,176.501182,49.61864321,62.379835,62.280055
15172,24.648395,175.996579,49.9583666,62.483872,62.379835
15173,24.65032,176.61267,49.9583666,62.567813,62.483872
15174,24.641737,187.238438,49.61864321,62.354514,62.567813
15175,24.650043,210.317767,49.61864321,62.061626,62.354514
15176,24.653953,214.349358,49.82515458,61.923233,62.061626
15177,24.646662,215.970932,49.91916774,61.843251,61.923233
15178,24.634828,216.044365,49.82515458,61.792945,61.843251
15179,24.651678,214.958118,49.61864321,61.765812,61.792945
15180,24.648277,214.898533,49.61864321,61.74501,61.765812
15181,24.655588,215.818015,50.16629189,61.714434,61.74501
15182,24.664065,215.133728,49.61864321,61.698675,61.714434
15183,24.658554,216.291547,49.61864321,61.691523,61.698675
15184,24.655119,216.084166,49.9583666,61.685717,61.691523
15185,24.64705,215.700592,49.61864321,61.666881,61.685717
15186,24.659918,216.468437,50.16629189,61.674008,61.666881
15187,24.653689,215.50962,49.61864321,61.678943,61.674008
15188,24.670433,216.257565,49.9583666,61.687146,61.678943
15189,24.662496,215.498332,49.7504413,61.661485,61.687146
15190,24.663425,215.494957,49.9583666,61.667099,61.661485
15191,24.653419,215.513344,49.9583666,61.664773,61.667099
15192,24.675818,216.349618,49.9583666,61.687447,61.664773
15193,24.660281,215.426878,49.61864321,61.679968,61.687447
15194,24.664862,216.091032,49.61864321,61.68846,61.679968
15195,24.651672,215.19308,49.61864321,61.688421,61.68846
15196,24.670268,214.960445,50.16629189,61.708295,61.688421
15197,24.658672,215.681972,49.61864321,61.71205,61.708295
15198,24.646688,216.225329,49.82515458,61.702418,61.71205
15199,24.652251,216.016668,49.9583666,61.716799,61.702418
15200,24.656734,216.006078,49.72317348,61.739549,61.716799
15201,24.670373,215.489488,50.08756789,61.763575,61.739549
15202,24.665904,215.673128,49.82515458,61.785473,61.763575
15203,24.658547,215.49391,49.82515458,61.78505,61.785473
15204,24.659555,215.643103,49.82515458,61.817656,61.78505
15205,24.659015,215.291068,49.82515458,61.827672,61.817656
15206,24.658923,215.612496,49.9583666,61.84104,61.827672
15207,24.649094,215.131051,49.41213183,61.857503,61.84104
15208,24.654842,215.900293,49.9583666,61.882829,61.857503
15209,24.64999,215.611798,49.82515458,61.896952,61.882829
15210,24.645909,215.340411,49.61864321,61.909134,61.896952
15211,24.656437,215.884815,49.61864321,61.930134,61.909134
15212,24.657307,215.869104,49.61864321,61.950717,61.930134
15213,24.658428,215.52312,49.9583666,61.956964,61.950717
15214,24.654183,215.615173,49.9583666,61.967865,61.956964
